width,depth,seed,param_count,final_v_norm,tail_mean_v_norm,best_v_norm,final_inner_loss,tail_mean_inner_loss,final_target_v_norm,tail_mean_target_v_norm,final_fit_ratio,time_sec,time_per_iter_sec,num_iters,batch_size,inner_steps,sinkhorn_reg,inner_lr,strong_convexity
32,1,42,133,0.11552780866622925,0.1735217542697986,0.009243853390216827,0.12162822484970093,0.13638495275129875,0.26559776067733765,0.3061817059914271,0.4349728100940222,43.512704849243164,0.0725211747487386,600,512,10,0.05,0.01,1.0
64,1,42,261,0.14214617013931274,0.2931854436484476,0.0009148103999905288,0.28880688548088074,0.1083907892772307,0.3541231155395508,0.3603135647252202,0.40140324053317705,45.74192810058594,0.0762365468343099,600,512,10,0.05,0.01,1.0
128,1,42,517,0.029971927404403687,0.04414896944072098,0.0009621229255571961,0.01472528837621212,0.01133224523315827,0.030324699357151985,0.03972439972373346,0.9883665182543588,44.04621386528015,0.07341035644213359,600,512,10,0.05,0.01,1.0
32,2,42,1253,0.24396194517612457,0.2842842844625314,0.0039665596559643745,0.029813416302204132,0.05783953182399273,0.26188868284225464,0.3385096490383148,0.931548218170198,55.53607106208801,0.09256011843681336,600,512,10,0.05,0.01,1.0
64,2,42,4549,0.25022628903388977,0.2366719958682855,0.004862554371356964,0.06090788170695305,0.12458298138032357,0.2947046756744385,0.35648310780525205,0.8490746879753239,57.96656322479248,0.09661093870798747,600,512,10,0.05,0.01,1.0
128,2,42,17285,0.1638520061969757,0.2024085909128189,0.008084717206656933,0.08914808928966522,0.12237424552440643,0.2437836080789566,0.31610074962178863,0.672120659657727,61.563173055648804,0.10260528842608134,600,512,10,0.05,0.01,1.0
32,4,42,3493,0.03426124155521393,0.03599555951853593,0.0008345823734998703,0.011543631553649902,0.01102122935699299,0.015538124367594719,0.03152229527477175,2.2049778142391956,77.50973200798035,0.12918288667996725,600,512,10,0.05,0.01,1.0
64,4,42,13125,0.2725614905357361,0.2578589119017124,0.008084717206656933,0.06907948851585388,0.0590814175705115,0.35310083627700806,0.3199549332261086,0.7719083468916731,72.9457733631134,0.12157628893852233,600,512,10,0.05,0.01,1.0
128,4,42,50821,0.23546066880226135,0.23785506213704746,0.020479068160057068,0.1124362051486969,0.1303977278371652,0.3316963315010071,0.3718800423045953,0.7098681515049103,74.79450750350952,0.12465751250584921,600,512,10,0.05,0.01,1.0
